"Cycle";"Block";"Population";"Treatment";"Plates_nbr";"Replicate";"Env";"Pop_type";"Sex_struct";"Day";"Total_assay";"Total_assay_2";"Tot_per_worm";"Fec_today";"Total_fec";"Herm_alive_today";"Herm_dead";"Herm_killed";"Male_alive_today";"Male_dead";"Male_killed";"Herm_alive_yesterday";"Male_alive_yesterday";"Fec_yesterday";"Herm_mortality";"Male_mortality";"Trt_3";"Trt_6";"Rep2"
4;"1";"A00_R2";"H";11;"K";"Ancestral";"Ancestral";"Androdioecious";"5";2090;2090;NA;NA;NA;5;0;0;0;0;0;5;0;NA;0;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 K"
4;"1";"A00_R2";"M";31;"A";"Ancestral";"Ancestral";"Androdioecious";"3";1470;1470;NA;166;830;5;0;0;5;0;0;5;5;166;0;20;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R2 1 A"
4;"1";"A00_R2";"M";31;"A";"Ancestral";"Ancestral";"Androdioecious";"4";1470;1470;NA;128;640;5;0;0;4;0;0;5;5;128;0;20;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R2 1 A"
4;"1";"A00_R2";"M";31;"A";"Ancestral";"Ancestral";"Androdioecious";"5";1470;1470;NA;NA;NA;5;0;0;4;0;0;5;4;NA;0;20;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R2 1 A"
4;"1";"A00_R2";"M";31;"B";"Ancestral";"Ancestral";"Androdioecious";"3";1674;1674;NA;186,8;934;5;0;0;5;0;0;5;5;186,8;0;20;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R2 1 B"
4;"1";"A00_R2";"M";31;"B";"Ancestral";"Ancestral";"Androdioecious";"4";1674;1674;NA;148;740;5;0;0;4;0;0;5;5;148;0;20;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R2 1 B"
4;"1";"A00_R2";"M";31;"B";"Ancestral";"Ancestral";"Androdioecious";"5";1674;1674;NA;NA;NA;5;0;0;4;0;0;5;4;NA;0;20;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R2 1 B"
4;"1";"A00_R2";"M";31;"C";"Ancestral";"Ancestral";"Androdioecious";"3";1984;1984;NA;174,4;872;5;0;0;5;0;0;5;5;174,4;0;0;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R2 1 C"
4;"1";"A00_R2";"M";31;"C";"Ancestral";"Ancestral";"Androdioecious";"4";1984;1984;NA;222,4;1112;5;0;0;5;0;0;5;5;222,4;0;0;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R2 1 C"
4;"1";"A00_R2";"M";31;"C";"Ancestral";"Ancestral";"Androdioecious";"5";1984;1984;NA;NA;NA;5;0;0;5;0;0;5;5;NA;0;0;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R2 1 C"
4;"1";"A00_R2";"M";31;"D";"Ancestral";"Ancestral";"Androdioecious";"3";2312;2312;NA;206,666666666667;1240;6;0;0;4;0;0;6;4;206,666666666667;16,6666666666667;0;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R2 1 D"
4;"1";"A00_R2";"M";31;"D";"Ancestral";"Ancestral";"Androdioecious";"4";2312;2312;NA;178,666666666667;1072;6;0;0;4;0;0;6;4;178,666666666667;16,6666666666667;0;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R2 1 D"
4;"1";"A00_R2";"M";31;"D";"Ancestral";"Ancestral";"Androdioecious";"5";2312;2312;NA;NA;NA;5;0;0;4;0;0;6;4;NA;16,6666666666667;0;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R2 1 D"
4;"1";"A00_R2";"M";31;"E";"Ancestral";"Ancestral";"Androdioecious";"3";1688;1688;NA;160,8;804;5;0;0;4;0;0;5;5;160,8;0;40;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R2 1 E"
4;"1";"A00_R2";"M";31;"E";"Ancestral";"Ancestral";"Androdioecious";"4";1688;1688;NA;176,8;884;5;0;0;4;0;0;5;4;176,8;0;40;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R2 1 E"
4;"1";"A00_R2";"M";31;"E";"Ancestral";"Ancestral";"Androdioecious";"5";1688;1688;NA;NA;NA;5;0;0;3;0;0;5;4;NA;0;40;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R2 1 E"
